episode,reward,steps,success,epsilon,success_rate
314,0.807,30,1,0.1461,1.000
315,0.801,31,1,0.1459,1.000
316,0.794,32,1,0.1458,1.000
317,0.756,38,1,0.1456,1.000
318,0.749,39,1,0.1455,1.000
319,0.807,30,1,0.1454,1.000
320,0.762,37,1,0.1452,1.000
321,0.730,42,1,0.1451,1.000
322,0.749,39,1,0.1449,1.000
323,0.820,28,1,0.1448,1.000
324,0.794,32,1,0.1446,1.000
325,0.807,30,1,0.1445,1.000
326,0.794,32,1,0.1443,1.000
327,0.801,31,1,0.1442,1.000
328,0.775,35,1,0.1440,1.000
329,0.826,27,1,0.1439,1.000
330,0.788,33,1,0.1438,1.000
331,0.788,33,1,0.1436,1.000
332,0.781,34,1,0.1435,1.000
333,0.762,37,1,0.1433,1.000
334,0.794,32,1,0.1432,1.000
335,0.801,31,1,0.1430,1.000
336,0.749,39,1,0.1429,1.000
337,0.794,32,1,0.1428,1.000
338,0.807,30,1,0.1426,1.000
339,0.814,29,1,0.1425,1.000
340,0.781,34,1,0.1423,1.000
341,0.743,40,1,0.1422,1.000
342,0.781,34,1,0.1420,1.000
343,0.775,35,1,0.1419,1.000
344,0.794,32,1,0.1418,1.000
345,0.736,41,1,0.1416,1.000
346,0.814,29,1,0.1415,1.000
347,0.781,34,1,0.1413,1.000
348,0.801,31,1,0.1412,1.000
349,0.794,32,1,0.1411,1.000
350,0.756,38,1,0.1409,1.000
351,0.807,30,1,0.1408,1.000
352,0.781,34,1,0.1406,1.000
353,0.743,40,1,0.1405,1.000
354,0.769,36,1,0.1404,1.000
355,0.756,38,1,0.1402,1.000
356,0.781,34,1,0.1401,1.000
357,0.807,30,1,0.1399,1.000
358,0.762,37,1,0.1398,1.000
359,0.749,39,1,0.1396,1.000
360,0.762,37,1,0.1395,1.000
361,0.794,32,1,0.1394,1.000
362,0.794,32,1,0.1392,1.000
363,0.743,40,1,0.1391,1.000
364,0.756,38,1,0.1390,1.000
365,0.762,37,1,0.1388,1.000
366,0.788,33,1,0.1387,1.000
367,0.781,34,1,0.1385,1.000
368,0.769,36,1,0.1384,1.000
369,0.769,36,1,0.1383,1.000
370,0.756,38,1,0.1381,1.000
371,0.801,31,1,0.1380,1.000
372,0.788,33,1,0.1378,1.000
373,0.788,33,1,0.1377,1.000
374,0.730,42,1,0.1376,1.000
375,0.807,30,1,0.1374,1.000
376,0.794,32,1,0.1373,1.000
377,0.769,36,1,0.1372,1.000
378,0.756,38,1,0.1370,1.000
379,0.756,38,1,0.1369,1.000
380,0.794,32,1,0.1367,1.000
381,0.756,38,1,0.1366,1.000
382,0.769,36,1,0.1365,1.000
383,0.826,27,1,0.1363,1.000
384,0.769,36,1,0.1362,1.000
385,0.756,38,1,0.1361,1.000
386,0.814,29,1,0.1359,1.000
387,0.788,33,1,0.1358,1.000
388,0.794,32,1,0.1357,1.000
389,0.775,35,1,0.1355,1.000
390,0.807,30,1,0.1354,1.000
391,0.762,37,1,0.1352,1.000
392,0.769,36,1,0.1351,1.000
393,0.756,38,1,0.1350,1.000
394,0.769,36,1,0.1348,1.000
395,0.781,34,1,0.1347,1.000
396,0.788,33,1,0.1346,1.000
397,0.788,33,1,0.1344,1.000
398,0.781,34,1,0.1343,1.000
399,0.736,41,1,0.1342,1.000
400,0.794,32,1,0.1340,1.000
401,0.756,38,1,0.1339,1.000
402,0.749,39,1,0.1338,1.000
403,0.749,39,1,0.1336,1.000
404,0.794,32,1,0.1335,1.000
405,0.775,35,1,0.1334,1.000
406,0.769,36,1,0.1332,1.000
407,0.762,37,1,0.1331,1.000
408,0.794,32,1,0.1330,1.000
409,0.769,36,1,0.1328,1.000
410,0.769,36,1,0.1327,1.000
411,0.775,35,1,0.1326,1.000
412,0.775,35,1,0.1324,1.000
413,0.807,30,1,0.1323,1.000
414,0.756,38,1,0.1322,1.000
415,0.762,37,1,0.1320,1.000
416,0.826,27,1,0.1319,1.000
417,0.781,34,1,0.1318,1.000
418,0.769,36,1,0.1316,1.000
419,0.749,39,1,0.1315,1.000
420,0.814,29,1,0.1314,1.000
421,0.769,36,1,0.1313,1.000
422,0.756,38,1,0.1311,1.000
423,0.730,42,1,0.1310,1.000
424,0.769,36,1,0.1309,1.000
425,0.807,30,1,0.1307,1.000
426,0.814,29,1,0.1306,1.000
427,0.756,38,1,0.1305,1.000
428,0.775,35,1,0.1303,1.000
429,0.794,32,1,0.1302,1.000
430,0.743,40,1,0.1301,1.000
431,0.807,30,1,0.1299,1.000
432,0.775,35,1,0.1298,1.000
433,0.743,40,1,0.1297,1.000
434,0.781,34,1,0.1296,1.000
435,0.814,29,1,0.1294,1.000
436,0.788,33,1,0.1293,1.000
437,0.775,35,1,0.1292,1.000
438,0.801,31,1,0.1290,1.000
439,0.749,39,1,0.1289,1.000
440,0.788,33,1,0.1288,1.000
441,0.781,34,1,0.1287,1.000
442,0.775,35,1,0.1285,1.000
443,0.775,35,1,0.1284,1.000
444,0.788,33,1,0.1283,1.000
445,0.801,31,1,0.1281,1.000
446,0.756,38,1,0.1280,1.000
447,0.749,39,1,0.1279,1.000
448,0.736,41,1,0.1278,1.000
449,0.801,31,1,0.1276,1.000
450,0.794,32,1,0.1275,1.000
451,0.762,37,1,0.1274,1.000
452,0.769,36,1,0.1272,1.000
453,0.781,34,1,0.1271,1.000
454,0.814,29,1,0.1270,1.000
455,0.794,32,1,0.1269,1.000
456,0.736,41,1,0.1267,1.000
457,0.846,24,1,0.1266,1.000
458,0.794,32,1,0.1265,1.000
459,0.781,34,1,0.1264,1.000
460,0.762,37,1,0.1262,1.000
461,0.775,35,1,0.1261,1.000
462,0.781,34,1,0.1260,1.000
463,0.781,34,1,0.1258,1.000
464,0.769,36,1,0.1257,1.000
465,0.781,34,1,0.1256,1.000
466,0.775,35,1,0.1255,1.000
467,0.749,39,1,0.1253,1.000
468,0.826,27,1,0.1252,1.000
469,0.801,31,1,0.1251,1.000
470,0.788,33,1,0.1250,1.000
471,0.788,33,1,0.1248,1.000
472,0.788,33,1,0.1247,1.000
473,0.794,32,1,0.1246,1.000
474,0.756,38,1,0.1245,1.000
475,0.749,39,1,0.1243,1.000
476,0.730,42,1,0.1242,1.000
477,0.807,30,1,0.1241,1.000
478,0.769,36,1,0.1240,1.000
479,0.769,36,1,0.1239,1.000
480,0.833,26,1,0.1237,1.000
481,0.743,40,1,0.1236,1.000
482,0.730,42,1,0.1235,1.000
483,0.807,30,1,0.1234,1.000
484,0.724,43,1,0.1232,1.000
485,0.762,37,1,0.1231,1.000
486,0.788,33,1,0.1230,1.000
487,0.801,31,1,0.1229,1.000
488,0.794,32,1,0.1227,1.000
489,0.762,37,1,0.1226,1.000
490,0.801,31,1,0.1225,1.000
491,0.846,24,1,0.1224,1.000
492,0.743,40,1,0.1223,1.000
493,0.769,36,1,0.1221,1.000
494,0.801,31,1,0.1220,1.000
495,0.826,27,1,0.1219,1.000
496,0.814,29,1,0.1218,1.000
497,0.788,33,1,0.1216,1.000
498,0.749,39,1,0.1215,1.000
499,0.769,36,1,0.1214,1.000
500,0.788,33,1,0.1213,1.000
501,0.820,28,1,0.1212,1.000
502,0.788,33,1,0.1210,1.000
503,0.762,37,1,0.1209,1.000
504,0.736,41,1,0.1208,1.000
505,0.794,32,1,0.1207,1.000
506,0.794,32,1,0.1205,1.000
507,0.762,37,1,0.1204,1.000
508,0.775,35,1,0.1203,1.000
509,0.781,34,1,0.1202,1.000
510,0.775,35,1,0.1201,1.000
511,0.756,38,1,0.1199,1.000
512,0.756,38,1,0.1198,1.000
513,0.794,32,1,0.1197,1.000
514,0.814,29,1,0.1196,1.000
515,0.775,35,1,0.1195,1.000
516,0.769,36,1,0.1193,1.000
517,0.788,33,1,0.1192,1.000
518,0.756,38,1,0.1191,1.000
519,0.775,35,1,0.1190,1.000
520,0.724,43,1,0.1189,1.000
521,0.794,32,1,0.1188,1.000
522,0.794,32,1,0.1186,1.000
523,0.775,35,1,0.1185,1.000
524,0.730,42,1,0.1184,1.000
525,0.781,34,1,0.1183,1.000
526,0.788,33,1,0.1182,1.000
527,0.794,32,1,0.1180,1.000
528,0.807,30,1,0.1179,1.000
529,0.775,35,1,0.1178,1.000
530,0.781,34,1,0.1177,1.000
531,0.781,34,1,0.1176,1.000
532,0.756,38,1,0.1175,1.000
533,0.769,36,1,0.1173,1.000
534,0.762,37,1,0.1172,1.000
535,0.794,32,1,0.1171,1.000
536,0.736,41,1,0.1170,1.000
537,0.730,42,1,0.1169,1.000
538,0.826,27,1,0.1168,1.000
539,0.794,32,1,0.1166,1.000
540,0.781,34,1,0.1165,1.000
541,0.788,33,1,0.1164,1.000
542,0.762,37,1,0.1163,1.000
543,0.801,31,1,0.1162,1.000
544,0.781,34,1,0.1161,1.000
545,0.781,34,1,0.1159,1.000
546,0.762,37,1,0.1158,1.000
547,0.820,28,1,0.1157,1.000
548,0.788,33,1,0.1156,1.000
549,0.781,34,1,0.1155,1.000
550,0.762,37,1,0.1154,1.000
551,0.756,38,1,0.1152,1.000
552,0.781,34,1,0.1151,1.000
553,0.769,36,1,0.1150,1.000
554,0.743,40,1,0.1149,1.000
555,0.756,38,1,0.1148,1.000
556,0.788,33,1,0.1147,1.000
557,0.775,35,1,0.1146,1.000
558,0.794,32,1,0.1144,1.000
559,0.775,35,1,0.1143,1.000
560,0.769,36,1,0.1142,1.000
561,0.769,36,1,0.1141,1.000
562,0.781,34,1,0.1140,1.000
563,0.807,30,1,0.1139,1.000
564,0.775,35,1,0.1138,1.000
565,0.788,33,1,0.1136,1.000
566,0.781,34,1,0.1135,1.000
567,0.762,37,1,0.1134,1.000
568,0.749,39,1,0.1133,1.000
569,0.749,39,1,0.1132,1.000
570,0.775,35,1,0.1131,1.000
571,0.794,32,1,0.1130,1.000
572,0.730,42,1,0.1128,1.000
573,0.762,37,1,0.1127,1.000
574,0.794,32,1,0.1126,1.000
575,0.775,35,1,0.1125,1.000
576,0.769,36,1,0.1124,1.000
577,0.794,32,1,0.1123,1.000
578,0.788,33,1,0.1122,1.000
579,0.839,25,1,0.1121,1.000
580,0.807,30,1,0.1119,1.000
581,0.794,32,1,0.1118,1.000
582,0.814,29,1,0.1117,1.000
583,0.762,37,1,0.1116,1.000
584,0.749,39,1,0.1115,1.000
585,0.781,34,1,0.1114,1.000
586,0.807,30,1,0.1113,1.000
587,0.794,32,1,0.1112,1.000
588,0.756,38,1,0.1111,1.000
589,0.807,30,1,0.1109,1.000
590,0.807,30,1,0.1108,1.000
591,0.749,39,1,0.1107,1.000
592,0.807,30,1,0.1106,1.000
593,0.775,35,1,0.1105,1.000
594,0.769,36,1,0.1104,1.000
595,0.743,40,1,0.1103,1.000
596,0.781,34,1,0.1102,1.000
597,0.801,31,1,0.1101,1.000
598,0.794,32,1,0.1099,1.000
599,0.788,33,1,0.1098,1.000
600,0.769,36,1,0.1097,1.000
601,0.794,32,1,0.1096,1.000
602,0.807,30,1,0.1095,1.000
603,0.775,35,1,0.1094,1.000
604,0.794,32,1,0.1093,1.000
605,0.814,29,1,0.1092,1.000
606,0.769,36,1,0.1091,1.000
607,0.794,32,1,0.1090,1.000
608,0.801,31,1,0.1089,1.000
609,0.801,31,1,0.1087,1.000
610,0.794,32,1,0.1086,1.000
611,0.724,43,1,0.1085,1.000
612,0.781,34,1,0.1084,1.000
613,0.762,37,1,0.1083,1.000
614,0.775,35,1,0.1082,1.000
615,0.762,37,1,0.1081,1.000
616,0.794,32,1,0.1080,1.000
617,0.781,34,1,0.1079,1.000
618,0.769,36,1,0.1078,1.000
619,0.781,34,1,0.1077,1.000
620,0.756,38,1,0.1076,1.000
621,0.801,31,1,0.1074,1.000
622,0.781,34,1,0.1073,1.000
623,0.788,33,1,0.1072,1.000
624,0.794,32,1,0.1071,1.000
625,0.781,34,1,0.1070,1.000
626,0.801,31,1,0.1069,1.000
627,0.756,38,1,0.1068,1.000
628,0.801,31,1,0.1067,1.000
629,0.762,37,1,0.1066,1.000
630,0.826,27,1,0.1065,1.000
631,0.807,30,1,0.1064,1.000
632,0.775,35,1,0.1063,1.000
633,0.788,33,1,0.1062,1.000
634,0.769,36,1,0.1061,1.000
635,0.788,33,1,0.1060,1.000
636,0.814,29,1,0.1058,1.000
637,0.775,35,1,0.1057,1.000
638,0.769,36,1,0.1056,1.000
639,0.756,38,1,0.1055,1.000
640,0.769,36,1,0.1054,1.000
641,0.788,33,1,0.1053,1.000
642,0.769,36,1,0.1052,1.000
643,0.762,37,1,0.1051,1.000
644,0.820,28,1,0.1050,1.000
645,0.807,30,1,0.1049,1.000
646,0.775,35,1,0.1048,1.000
647,0.826,27,1,0.1047,1.000
648,0.756,38,1,0.1046,1.000
649,0.820,28,1,0.1045,1.000
650,0.769,36,1,0.1044,1.000
651,0.775,35,1,0.1043,1.000
652,0.775,35,1,0.1042,1.000
653,0.769,36,1,0.1041,1.000
654,0.814,29,1,0.1040,1.000
655,0.788,33,1,0.1039,1.000
656,0.807,30,1,0.1038,1.000
657,0.781,34,1,0.1036,1.000
658,0.794,32,1,0.1035,1.000
659,0.781,34,1,0.1034,1.000
660,0.807,30,1,0.1033,1.000
661,0.807,30,1,0.1032,1.000
662,0.749,39,1,0.1031,1.000
663,0.820,28,1,0.1030,1.000
664,0.807,30,1,0.1029,1.000
665,0.801,31,1,0.1028,1.000
666,0.794,32,1,0.1027,1.000
667,0.775,35,1,0.1026,1.000
668,0.788,33,1,0.1025,1.000
669,0.756,38,1,0.1024,1.000
670,0.807,30,1,0.1023,1.000
671,0.788,33,1,0.1022,1.000
672,0.839,25,1,0.1021,1.000
673,0.794,32,1,0.1020,1.000
674,0.807,30,1,0.1019,1.000
675,0.814,29,1,0.1018,1.000
676,0.794,32,1,0.1017,1.000
677,0.769,36,1,0.1016,1.000
678,0.769,36,1,0.1015,1.000
679,0.756,38,1,0.1014,1.000
680,0.756,38,1,0.1013,1.000
681,0.801,31,1,0.1012,1.000
682,0.769,36,1,0.1011,1.000
683,0.794,32,1,0.1010,1.000
684,0.826,27,1,0.1009,1.000
685,0.788,33,1,0.1008,1.000
686,0.794,32,1,0.1007,1.000
687,0.826,27,1,0.1006,1.000
688,0.769,36,1,0.1005,1.000
689,0.846,24,1,0.1004,1.000
690,0.801,31,1,0.1003,1.000
691,0.807,30,1,0.1002,1.000
692,0.736,41,1,0.1001,1.000
693,0.788,33,1,0.1000,1.000
694,0.756,38,1,0.0999,1.000
695,0.820,28,1,0.0998,1.000
696,0.756,38,1,0.0997,1.000
697,0.775,35,1,0.0996,1.000
698,0.781,34,1,0.0995,1.000
699,0.807,30,1,0.0994,1.000
700,0.781,34,1,0.0993,1.000
701,0.794,32,1,0.0992,1.000
702,0.743,40,1,0.0991,1.000
703,0.756,38,1,0.0990,1.000
704,0.756,38,1,0.0989,1.000
705,0.794,32,1,0.0988,1.000
706,0.807,30,1,0.0987,1.000
707,0.781,34,1,0.0986,1.000
708,0.775,35,1,0.0985,1.000
709,0.756,38,1,0.0984,1.000
710,0.756,38,1,0.0983,1.000
711,0.775,35,1,0.0982,1.000
712,0.788,33,1,0.0981,1.000
713,0.781,34,1,0.0980,1.000
714,0.788,33,1,0.0979,1.000
715,0.756,38,1,0.0978,1.000
716,0.775,35,1,0.0977,1.000
717,0.769,36,1,0.0976,1.000
718,0.762,37,1,0.0975,1.000
719,0.807,30,1,0.0974,1.000
720,0.801,31,1,0.0973,1.000
721,0.781,34,1,0.0972,1.000
722,0.801,31,1,0.0971,1.000
723,0.749,39,1,0.0970,1.000
724,0.781,34,1,0.0969,1.000
725,0.756,38,1,0.0968,1.000
726,0.801,31,1,0.0967,1.000
727,0.775,35,1,0.0966,1.000
728,0.730,42,1,0.0965,1.000
729,0.814,29,1,0.0964,1.000
730,0.788,33,1,0.0963,1.000
731,0.756,38,1,0.0963,1.000
732,0.775,35,1,0.0962,1.000
